Ambient Temp.,TMP116,Frequency,Actual dfreq (ppb)
13.88,10757,9999999.042,0.13920013
14.94,10759,9999999.042,0.12300014
16.13,10761,9999999.042,0.12270007
17.31,10765,9999999.042,0.10240003
18.38,10767,9999999.042,0.08230004
19.44,10770,9999999.042,0.06870013
20.69,10773,9999999.041,0.05109999
21.75,10775,9999999.041,0.03970005
22.75,10778,9999999.041,0.04160013
24,10779,9999999.041,0.00100005
25.06,10783,9999999.041,-0.00090003
26.13,10785,9999999.041,0
27.38,10788,9999999.041,-0.03229994
28.44,10790,9999999.041,-0.03469996
29.44,10793,9999999.04,-0.0457
30.63,10796,9999999.04,-0.0767
31.69,10798,9999999.04,-0.07639993
32.69,10801,9999999.04,-0.09729993
33.81,10803,9999999.04,-0.10609999
35.13,10806,9999999.04,-0.14039986
36.31,10809,9999999.039,-0.16129985
37.31,10811,9999999.039,-0.17200001
38.69,10814,9999999.039,-0.21039993
39.81,10817,9999999.039,-0.22059996
40.88,10820,9999999.039,-0.23699999
42.19,10823,9999999.038,-0.25110003
43.31,10826,9999999.038,-0.27249996
44.38,10827,9999999.038,-0.29839985
45.63,10831,9999999.038,-0.32089986
46.81,10834,9999999.037,-0.34659989
47.94,10836,9999999.037,-0.35319999
49.06,10838,9999999.037,-0.37350003
50.31,10841,9999999.037,-0.39529987
51.44,10845,9999999.037,-0.43209996
52.5,10847,9999999.037,-0.44419989
53.75,10850,9999999.036,-0.46139993
54.88,10852,9999999.036,-0.47509987
55.94,10855,9999999.036,-0.50959997
57,10858,9999999.036,-0.53679999
58,10860,9999999.035,-0.55409987
59.19,10863,9999999.035,-0.57609994
60.31,10865,9999999.035,-0.59429985
61.19,10867,9999999.035,-0.62119998
62.38,10870,9999999.034,-0.64969994
63.44,10872,9999999.034,-0.6719999
64.5,10875,9999999.034,-0.68289991
65.81,10878,9999999.034,-0.71729999
66.81,10880,9999999.034,-0.73479991
67.88,10883,9999999.033,-0.75549986
69,10885,9999999.033,-0.77829994
70.13,10887,9999999.033,-0.81389993
71.13,10890,9999999.033,-0.82350001
72.06,10893,9999999.032,-0.85089989
73.31,10895,9999999.032,-0.89020003
74.38,10898,9999999.032,-0.88359993
75.44,10901,9999999.032,-0.92709996
76.5,10903,9999999.031,-0.9544
77.69,10905,9999999.031,-0.98080002
78.5,10908,9999999.031,-1.00209992
78.94,10909,9999999.031,-0.99559985
79.44,10911,9999999.031,-1.01640001
79.5,10911,9999999.031,-1.01679992
79.63,10912,9999999.031,-1.03099998
79.75,10912,9999999.031,-1.0290999
