Frequency,TMP116,Ambient Temp.,Actual dfreq (ppb)
10000003.04475400,10823.00000000,54.38000000,-0.05779993
10000003.04505800,10820.00000000,53.13000000,-0.02739988
10000003.04480000,10817.00000000,51.94000000,-0.05319994
10000003.04486700,10815.00000000,50.88000000,-0.04650000
10000003.04493600,10812.00000000,49.69000000,-0.03960002
10000003.04503300,10809.00000000,48.50000000,-0.02989992
10000003.04509400,10807.00000000,47.38000000,-0.02379995
10000003.04488300,10804.00000000,46.31000000,-0.04489999
10000003.04522200,10801.00000000,45.13000000,-0.01100004
10000003.04538000,10799.00000000,43.94000000,0.00480004
10000003.04527200,10796.00000000,42.75000000,-0.00599995
10000003.04549100,10793.00000000,41.63000000,0.01590010
10000003.04529800,10791.00000000,40.50000000,-0.00339989
10000003.04548700,10788.00000000,39.25000000,0.01550000
10000003.04546700,10785.00000000,38.19000000,0.01350008
10000003.04551000,10783.00000000,37.00000000,0.01780000
10000003.04551600,10781.00000000,36.00000000,0.01839995
10000003.04561400,10778.00000000,34.75000000,0.02820008
10000003.04537300,10775.00000000,33.56000000,0.00410005
10000003.04554800,10772.00000000,32.44000000,0.02159998
10000003.04552200,10770.00000000,31.38000000,0.01900010
10000003.04547100,10766.00000000,30.19000000,0.01389999
10000003.04543800,10764.00000000,28.94000000,0.01059994
10000003.04546400,10761.00000000,27.81000000,0.01320001
10000003.04538000,10759.00000000,26.69000000,0.00480004
10000003.04550500,10756.00000000,25.56000000,0.01730006
10000003.04533200,10754.00000000,24.38000000,0.00000000
10000003.04553800,10751.00000000,23.50000000,0.02060011
10000003.04543200,10748.00000000,22.44000000,0.00999998
10000003.04535400,10747.00000000,21.38000000,0.00219997
10000003.04538900,10744.00000000,20.19000000,0.00570007
10000003.04559100,10741.00000000,19.06000000,0.02590008
10000003.04534900,10739.00000000,18.00000000,0.00170004
10000003.04549900,10736.00000000,16.81000000,0.01670010
10000003.04527500,10733.00000000,15.50000000,-0.00569988
10000003.04524300,10731.00000000,14.44000000,-0.00889990
10000003.04525800,10728.00000000,13.31000000,-0.00739992
10000003.04518600,10724.00000000,12.25000000,-0.01459997
10000003.04522700,10723.00000000,11.19000000,-0.01049992
10000003.04534700,10720.00000000,10.00000000,0.00149999
10000003.04520500,10718.00000000,8.94000000,-0.01269989
10000003.04518000,10715.00000000,7.75000000,-0.01519993
10000003.04523500,10713.00000000,6.63000000,-0.00969991
10000003.04492200,10709.00000000,5.63000000,-0.04099999
10000003.04491300,10707.00000000,4.31000000,-0.04190002
10000003.04502700,10704.00000000,3.00000000,-0.03049988
10000003.04497400,10702.00000000,2.06000000,-0.03580004
10000003.04486000,10698.00000000,0.81000000,-0.04719999
10000003.04477400,10696.00000000,-0.38000000,-0.05580001
10000003.04482300,10693.00000000,-1.56000000,-0.05089995
10000003.04461300,10690.00000000,-2.88000000,-0.07189997
10000003.04471800,10687.00000000,-4.13000000,-0.06140005
10000003.04458400,10685.00000000,-5.13000000,-0.07479992
10000003.04464200,10682.00000000,-6.00000000,-0.06900001
10000003.04431900,10681.00000000,-5.50000000,-0.12660008
